City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
516,San,ML,79.7,light rain,13.3034,-4.8956,Hôtel Teriya
517,Sabang,ID,81.35600000000002,moderate rain,5.8933,95.3214,Hotel Citra
518,Gizo,SB,83.57000000000006,scattered clouds,-8.103,156.8419,Imagination Island
519,Hovd,MN,75.86600000000001,clear sky,48.0056,91.6419,Hotel Khovd
520,Praya,CV,75.65,light rain,14.9215,-23.5087,LT Aparthotel
521,Maine-Soroa,NE,84.52400000000002,broken clouds,13.2114,12.0241,Complexe
529,Kurchum,KZ,81.48200000000003,broken clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
530,Natal,BR,75.41600000000001,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
531,Veraval,IN,87.27800000000008,scattered clouds,20.9,70.3667,Lords Inn Somnath
532,Manzhouli,CN,76.44200000000001,clear sky,49.6,117.4333,Angala International Youth Hostel
534,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
536,Praia,CV,75.65,light rain,14.9215,-23.5087,LT Aparthotel
540,Bonthe,SL,76.62200000000004,moderate rain,7.5264,-12.505,Bonthe Holiday Village
542,Callaway,US,77.91800000000009,broken clouds,30.153,-85.5699,"Holiday Inn Express & Suites Panama City-Tyndall, an IHG Hotel"
544,Sulangan,PH,82.76000000000008,moderate rain,11.1373,123.7228,Maia's Beach Resort
546,Parabel,RU,76.35200000000009,clear sky,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
547,Noyabrsk,RU,78.29600000000005,clear sky,63.1994,75.4507,Hotel Uyutnaya
553,Pizarro,CO,76.38800000000005,overcast clouds,4.9533,-77.366,Hotel Limonar
554,Shenjiamen,CN,77.07200000000003,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
562,Luganville,VU,77.16200000000006,broken clouds,-15.5333,167.1667,The Espiritu Hotel
567,Buala,SB,82.50800000000001,light rain,-8.145,159.5921,Maringe Lagoon Lodge
572,Kijang,KR,87.53000000000004,broken clouds,35.2442,129.2139,Samyang Beach Villa
574,Fort Smith,US,80.63600000000008,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
591,Terekli-Mekteb,RU,79.39400000000008,clear sky,44.1671,45.8698,"Gostevoy Dvor ""U Gul'zary"""
595,Cozumel,MX,78.94400000000007,overcast clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
596,Panshi,CN,78.72800000000007,overcast clouds,42.9422,126.0561,Shangkeyou Express Hotel
600,Villa Rica,US,77.39600000000004,broken clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
604,Tamiahua,MX,77.48600000000008,overcast clouds,21.2667,-97.45,Mission Of The Sun Hotel
606,Nichinan,JP,78.47600000000008,moderate rain,31.6,131.3667,Guest House Aki
609,Barcelona,ES,76.69400000000007,few clouds,41.3888,2.159,Axel Hotel Barcelona
610,Cairns,AU,78.06200000000007,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
614,Saint Anthony,US,87.96200000000006,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
616,Nyaunglebin,MM,84.12800000000007,broken clouds,17.95,96.7333,Thi ha
619,Anqing,CN,85.47800000000007,overcast clouds,30.5092,117.0506,Hongtian Hotel
620,Jiazi,CN,82.85,overcast clouds,22.8779,116.067,Hotel Jin Hao
621,Chaozhou,CN,89.45600000000003,moderate rain,23.6651,116.6379,Seven Corner View Homestay
627,Kargasok,RU,76.96400000000003,clear sky,59.0556,80.8572,Hotel Kargasok
628,Aksu,CN,81.42800000000007,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
631,Morant Bay,JM,82.02200000000005,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
632,Nisia Floresta,BR,75.57800000000006,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
635,Canchungo,GW,77.12600000000009,overcast clouds,12.0672,-16.0333,Aparthotel Napalach
636,Katherine,AU,86.32400000000001,overcast clouds,-14.4667,132.2667,Pine Tree Motel
637,Talnakh,RU,78.20600000000003,overcast clouds,69.4865,88.3972,Talnakh Hotel
639,Laguna De Perlas,NI,76.60400000000006,moderate rain,12.3429,-83.6712,Hotel Best View
640,Barkhan,PK,76.37000000000006,clear sky,29.8977,69.5256,Sardar
641,Katobu,ID,76.38800000000005,overcast clouds,-4.9408,122.5276,La Ode Husein
650,Gewane,ET,86.43200000000002,broken clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
658,Ranong,TH,87.72800000000007,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
661,Padang,ID,86.05400000000006,broken clouds,-0.9492,100.3543,Mercure Padang
664,Dingle,PH,81.48200000000003,light rain,10.9995,122.6711,SEGAYA PROPERTY
666,Kinablangan,PH,84.70400000000006,broken clouds,7.6947,126.5503,Morales Eatery and Lodging House
669,Tecoanapa,MX,78.674,overcast clouds,16.5167,-98.75,Hotel Manglares
673,Keti Bandar,PK,86.57600000000009,scattered clouds,24.1447,67.4497,Haji laloo memon house
675,Megion,RU,77.01800000000009,clear sky,61.0296,76.1136,Komfort Hotel
679,Acarau,BR,75.34400000000008,light rain,-2.8856,-40.12,castelo pizzaria
680,Pontianak,ID,82.38200000000002,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
681,Bima,ID,88.98800000000006,few clouds,-8.4667,118.7167,Lambitu Hotel
