City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
164,Saskylakh,RU,2022-06-21 04:41:03,71.9167,114.0833,53.45600000000003,66,99,0.95,light rain
165,Makakilo City,US,2022-06-21 04:41:04,21.3469,-158.0858,79.12400000000002,67,100,5.66,overcast clouds
166,Constitucion,CL,2022-06-21 04:41:04,-35.3333,-72.4167,50.41400000000003,77,100,2.76,overcast clouds
167,Thompson,CA,2022-06-21 04:41:05,55.7435,-97.8558,53.76200000000006,94,75,2.06,broken clouds
168,Udachnyy,RU,2022-06-21 04:41:05,66.4167,112.4,70.44800000000004,26,14,3.04,few clouds
169,Tchibanga,GA,2022-06-21 04:41:06,-2.85,11.0333,64.70600000000003,94,89,0.78,overcast clouds
170,Kaitangata,NZ,2022-06-21 04:41:07,-46.2817,169.8464,42.17000000000006,91,0,1.64,clear sky
171,Vila,PT,2022-06-21 04:41:08,42.0304,-8.1588,47.28200000000002,93,68,1.76,broken clouds
172,Pacifica,US,2022-06-21 04:37:09,37.6138,-122.4869,74.82200000000003,82,0,2.57,mist
173,Berezovka,BY,2022-06-21 04:41:09,53.7214,25.4993,55.77800000000006,97,100,5.53,overcast clouds
174,Thunder Bay,CA,2022-06-21 04:39:56,48.4001,-89.3168,60.78200000000002,88,40,3.6,scattered clouds
175,Tieling,CN,2022-06-21 04:41:10,42.2931,123.8414,84.47000000000006,61,97,3.24,overcast clouds
176,Norman Wells,CA,2022-06-21 04:41:11,65.282,-126.8329,57.236000000000075,94,75,1.03,thunderstorm with light rain
177,Kota Kinabalu,MY,2022-06-21 04:41:12,5.9749,116.0724,82.38200000000002,83,20,1.54,thunderstorm
178,La Asuncion,VE,2022-06-21 04:41:13,11.0333,-63.8628,78.53000000000004,89,97,4.12,overcast clouds
179,Sur,OM,2022-06-21 04:41:13,22.5667,59.5289,98.07800000000007,41,8,2.55,clear sky
180,Chicama,PE,2022-06-21 04:41:14,-7.8447,-79.1469,57.74000000000002,87,45,2.71,scattered clouds
181,Moree,AU,2022-06-21 04:42:15,-29.4667,149.85,67.17200000000004,48,3,2.3,clear sky
182,Batagay-Alyta,RU,2022-06-21 04:42:16,67.8006,130.4114,61.08800000000005,33,3,3.11,clear sky
183,Kavaratti,IN,2022-06-21 04:42:17,10.5669,72.642,83.04800000000003,77,100,9.28,overcast clouds
184,Port Lincoln,AU,2022-06-21 04:42:17,-34.7333,135.8667,61.71800000000009,75,86,8.13,overcast clouds
185,Avarua,CK,2022-06-21 04:42:20,-21.2078,-159.775,80.65400000000005,83,20,4.12,few clouds
186,Davila,PH,2022-06-21 04:42:20,18.4726,120.5763,89.58200000000002,70,83,3.38,broken clouds
187,Ishinomaki,JP,2022-06-21 04:42:21,38.4167,141.3,71.6,76,100,4.58,overcast clouds
188,Ayagoz,KZ,2022-06-21 04:42:22,47.9714,80.4392,88.30400000000006,20,20,7.33,few clouds
189,Turukhansk,RU,2022-06-21 04:42:23,65.8167,87.9833,82.00400000000005,39,39,5.47,scattered clouds
190,Esperanca,BR,2022-06-21 04:42:24,-7.0331,-35.8572,66.57800000000006,97,30,3.78,scattered clouds
191,Rajanpur,PK,2022-06-21 04:42:25,29.1035,70.325,84.68600000000006,50,66,6.96,broken clouds
192,Port-Gentil,GA,2022-06-21 04:42:26,-0.7193,8.7815,72.93200000000002,84,57,6.9,broken clouds
193,Urumqi,CN,2022-06-21 04:38:02,43.801,87.6005,86.95400000000006,19,0,2.0,clear sky
194,Sant Pere De Ribes,ES,2022-06-21 04:42:27,41.2667,1.7667,76.49600000000005,49,53,0.67,broken clouds
195,Atuona,PF,2022-06-21 04:42:28,-9.8,-139.0333,77.91800000000009,79,17,9.51,few clouds
196,Samarai,PG,2022-06-21 04:42:28,-10.6167,150.6667,80.74400000000009,79,98,3.71,overcast clouds
197,Ikornnes,NO,2022-06-21 04:42:29,62.3873,6.557,58.748000000000026,78,100,1.68,overcast clouds
198,Nosy Varika,MG,2022-06-21 04:42:29,-20.5833,48.5333,67.65800000000002,84,76,1.14,light rain
199,Vardo,NO,2022-06-21 04:42:30,70.3705,31.1107,48.182000000000016,81,75,5.66,broken clouds
200,Los Llanos De Aridane,ES,2022-06-21 04:41:11,28.6585,-17.9182,64.14800000000002,85,100,5.66,overcast clouds
201,Sao Joao Da Barra,BR,2022-06-21 04:42:31,-21.6403,-41.0511,68.73800000000006,89,4,1.89,clear sky
202,Beringovskiy,RU,2022-06-21 04:42:31,63.05,179.3167,46.544000000000075,85,77,7.08,broken clouds
203,Deputatskiy,RU,2022-06-21 04:42:32,69.3,139.9,51.63800000000005,29,96,2.39,overcast clouds
204,Rockport,US,2022-06-21 04:42:32,28.0206,-97.0544,86.05400000000006,89,0,4.63,clear sky
205,Porto Novo,BJ,2022-06-21 04:42:36,6.4965,2.6036,78.62000000000006,91,63,1.76,broken clouds
206,Tasiilaq,GL,2022-06-21 04:39:16,65.6145,-37.6368,39.36200000000006,89,99,2.59,light rain
207,Floro,NO,2022-06-21 04:42:37,61.5996,5.0328,52.97000000000006,100,75,6.69,mist
208,Yankton,US,2022-06-21 04:42:38,42.8711,-97.3973,80.11400000000003,69,75,5.14,broken clouds
209,Narsaq,GL,2022-06-21 04:42:39,60.9167,-46.05,43.016000000000005,96,100,1.49,overcast clouds
210,Leh,IN,2022-06-21 04:42:39,34.1667,77.5833,55.07600000000009,33,83,1.67,broken clouds
211,Chissamba,AO,2022-06-21 04:42:40,-12.1667,17.3333,52.17800000000007,64,25,0.12,scattered clouds
212,Lata,PT,2022-06-21 04:42:41,40.1629,-8.3327,51.51200000000006,97,31,0.9,scattered clouds
213,Paamiut,GL,2022-06-21 04:42:41,61.994,-49.6678,37.09400000000007,91,100,7.26,overcast clouds
214,Ndele,CF,2022-06-21 04:42:42,8.4109,20.6473,67.74800000000002,97,100,1.83,overcast clouds
215,Waipawa,NZ,2022-06-21 04:42:42,-41.4122,175.5153,46.04000000000002,81,97,4.73,overcast clouds
216,Sao Miguel Do Araguaia,BR,2022-06-21 04:42:43,-13.275,-50.1628,68.93600000000006,47,4,1.84,clear sky
